Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: S,Overall Fit: True to Size,137,70,60,80,32,61
Item Size: S,Overall Fit: True to Size,158,83,63,84,32,63
Item Size: S,Overall Fit: True to Size,160,79,64,91,32,54
Item Size: S,Overall Fit: True to Size,160,79,64,91,32,71
Item Size: S,Overall Fit: True to Size,141,79,68,86,32,58
Item Size: S,Overall Fit: True to Size,157,85,65,87,34,64
Item Size: S,Overall Fit: True to Size,175,82,70,84,32,59
Item Size: S,Overall Fit: True to Size,148,87,70,102,34,53
Item Size: S,Overall Fit: True to Size,150,74,65,88,34,63
Item Size: S,Overall Fit: True to Size,165,85,71,93,34,70
Item Size: S,Overall Fit: True to Size,163,77,62,90,32,58
Item Size: S,Overall Fit: True to Size,139,88,67,80,34,55
Item Size: S,Overall Fit: True to Size,163,83,65,84,34,70
Item Size: S,Overall Fit: True to Size,160,88,65,87,34,64
Item Size: S,Overall Fit: True to Size,141,85,65,89,32,69
Item Size: S,Overall Fit: True to Size,152,70,60,80,34,63
Item Size: S,Overall Fit: True to Size,154,82,71,91,36,75
Item Size: S,Overall Fit: True to Size,157,84,80,87,32,54
Item Size: S,Overall Fit: True to Size,137,82,66,82,32,57
Item Size: S,Overall Fit: True to Size,148,87,70,102,34,74
Item Size: S,Overall Fit: True to Size,158,72,61,83,36,69
Item Size: S,Overall Fit: True to Size,172,70,68,80,32,60
Item Size: S,Overall Fit: True to Size,155,89,71,99,32,57
Item Size: S,Overall Fit: True to Size,160,83,65,83,32,59
Item Size: S,Overall Fit: True to Size,162,85,60,85,32,52
Item Size: S,Overall Fit: True to Size,162,88,66,93,32,66
Item Size: S,Overall Fit: True to Size,148,84,65,84,32,64
Item Size: S,Overall Fit: True to Size,160,87,66,89,34,66
Item Size: S,Overall Fit: True to Size,154,86,66,83,32,52
Item Size: S,Overall Fit: True to Size,165,82,69,86,32,51
Item Size: S,Overall Fit: True to Size,170,89,66,94,34,71
Item Size: S,Overall Fit: True to Size,153,84,65,86,34,52
Item Size: S,Overall Fit: True to Size,168,82,64,80,32,71
Item Size: S,Overall Fit: True to Size,168,82,64,80,32,74
Item Size: S,Overall Fit: True to Size,160,89,71,80,34,54
Item Size: S,Overall Fit: True to Size,137,77,74,89,32,50
Item Size: S,Overall Fit: True to Size,157,77,65,83,38,71
Item Size: S,Overall Fit: True to Size,159,74,67,80,34,51
Item Size: S,Overall Fit: True to Size,139,72,62,83,34,69
Item Size: S,Overall Fit: True to Size,137,70,60,80,32,67
Item Size: S,Overall Fit: True to Size,168,77,63,80,32,57
Item Size: S,Overall Fit: True to Size,159,80,73,92,34,69
Item Size: S,Overall Fit: True to Size,155,87,69,84,32,59
Item Size: S,Overall Fit: True to Size,173,82,68,92,32,57
Item Size: S,Overall Fit: True to Size,148,80,65,83,32,59
Item Size: S,Overall Fit: True to Size,145,87,70,102,34,72
Item Size: S,Overall Fit: True to Size,160,87,66,89,34,64
Item Size: M,Overall Fit: True to Size,155,74,61,97,32,75
Item Size: M,Overall Fit: True to Size,163,85,66,99,32,75
Item Size: M,Overall Fit: True to Size,176,99,74,107,36,83
Item Size: M,Overall Fit: True to Size,161,93,75,102,38,99
Item Size: M,Overall Fit: True to Size,164,87,67,87,36,100
Item Size: M,Overall Fit: True to Size,178,86,60,93,34,96
Item Size: M,Overall Fit: True to Size,162,82,66,87,32,89
Item Size: M,Overall Fit: True to Size,138,87,61,102,34,77
Item Size: M,Overall Fit: True to Size,170,87,66,81,34,98
Item Size: M,Overall Fit: True to Size,175,70,66,85,32,86
Item Size: M,Overall Fit: True to Size,150,78,67,89,34,78
Item Size: M,Overall Fit: True to Size,167,92,71,85,36,95
Item Size: M,Overall Fit: True to Size,159,80,71,88,32,77
Item Size: M,Overall Fit: True to Size,168,93,67,92,34,80
Item Size: M,Overall Fit: True to Size,160,91,71,97,32,93
Item Size: M,Overall Fit: True to Size,137,81,68,89,32,82
Item Size: M,Overall Fit: True to Size,163,92,80,94,34,76
Item Size: M,Overall Fit: True to Size,160,91,64,100,34,97
Item Size: M,Overall Fit: True to Size,160,87,68,93,34,90
