,Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,new
192,Item Size: S,Overall Fit: True to Size,137,77,74,89,81.28,-0.374695703485555
193,Item Size: S,Overall Fit: True to Size,157,77,65,83,96.52,-0.374695703485555
194,Item Size: S,Overall Fit: True to Size,159,74,67,80,86.36,-0.374695703485555
195,Item Size: S,Overall Fit: True to Size,139,72,62,83,86.36,-0.374695703485555
196,Item Size: S,Overall Fit: True to Size,137,70,60,80,81.28,-0.374695703485555
197,Item Size: S,Overall Fit: True to Size,168,77,63,80,81.28,-0.374695703485555
198,Item Size: S,Overall Fit: True to Size,159,80,73,92,86.36,-0.374695703485555
199,Item Size: S,Overall Fit: True to Size,155,87,69,84,81.28,-0.374695703485555
200,Item Size: S,Overall Fit: True to Size,173,82,68,92,81.28,-0.374695703485555
201,Item Size: S,Overall Fit: True to Size,148,80,65,83,81.28,-0.374695703485555
202,Item Size: S,Overall Fit: True to Size,145,87,70,102,86.36,-0.374695703485555
203,Item Size: S,Overall Fit: True to Size,160,87,66,89,86.36,-0.374695703485555
204,Item Size: M,Overall Fit: True to Size,155,74,61,97,81.28,0.6573051747585579
205,Item Size: M,Overall Fit: True to Size,163,85,66,99,81.28,0.6573051747585579
206,Item Size: M,Overall Fit: True to Size,176,99,74,107,91.44,0.6573051747585579
207,Item Size: M,Overall Fit: True to Size,161,93,75,102,96.52,0.6573051747585579
208,Item Size: M,Overall Fit: True to Size,164,87,67,87,91.44,0.6573051747585579
209,Item Size: M,Overall Fit: True to Size,178,86,60,93,86.36,0.6573051747585579
210,Item Size: M,Overall Fit: True to Size,162,82,66,87,81.28,0.6573051747585579
211,Item Size: M,Overall Fit: True to Size,138,87,61,102,86.36,0.6573051747585579
212,Item Size: M,Overall Fit: True to Size,170,87,66,81,86.36,0.6573051747585579
213,Item Size: M,Overall Fit: True to Size,175,70,66,85,81.28,0.6573051747585579
214,Item Size: M,Overall Fit: True to Size,150,78,67,89,86.36,0.6573051747585579
215,Item Size: M,Overall Fit: True to Size,167,92,71,85,91.44,0.6573051747585579
216,Item Size: M,Overall Fit: True to Size,159,80,71,88,81.28,0.6573051747585579
217,Item Size: M,Overall Fit: True to Size,168,93,67,92,86.36,0.6573051747585579
218,Item Size: M,Overall Fit: True to Size,160,91,71,97,81.28,0.6573051747585579
219,Item Size: M,Overall Fit: True to Size,137,81,68,89,81.28,0.6573051747585579
220,Item Size: M,Overall Fit: True to Size,163,92,80,94,86.36,0.6573051747585579
221,Item Size: M,Overall Fit: True to Size,160,91,64,100,86.36,0.6573051747585579
222,Item Size: M,Overall Fit: True to Size,160,87,68,93,86.36,0.6573051747585579
223,Item Size: M,Overall Fit: True to Size,159,84,68,94,86.36,0.6573051747585579
224,Item Size: M,Overall Fit: True to Size,160,87,77,102,86.36,0.6573051747585579
225,Item Size: M,Overall Fit: True to Size,171,87,67,86,86.36,0.6573051747585579
226,Item Size: M,Overall Fit: True to Size,165,87,71,90,86.36,0.6573051747585579
227,Item Size: M,Overall Fit: True to Size,164,96,76,102,91.44,0.6573051747585579
228,Item Size: M,Overall Fit: True to Size,138,92,75,102,96.52,0.6573051747585579
229,Item Size: M,Overall Fit: True to Size,149,82,71,87,81.28,0.6573051747585579
230,Item Size: M,Overall Fit: True to Size,165,90,73,99,81.28,0.6573051747585579
231,Item Size: M,Overall Fit: True to Size,138,75,67,84,81.28,0.6573051747585579
232,Item Size: M,Overall Fit: True to Size,144,94,68,85,86.36,0.6573051747585579
233,Item Size: M,Overall Fit: True to Size,152,70,60,80,91.44,0.6573051747585579
234,Item Size: M,Overall Fit: True to Size,154,91,72,91,86.36,0.6573051747585579
235,Item Size: M,Overall Fit: True to Size,152,87,64,91,86.36,0.6573051747585579
236,Item Size: M,Overall Fit: True to Size,153,88,71,94,86.36,0.6573051747585579
237,Item Size: M,Overall Fit: True to Size,143,70,60,84,86.36,0.6573051747585579
238,Item Size: M,Overall Fit: True to Size,160,94,74,94,91.44,0.6573051747585579
239,Item Size: M,Overall Fit: True to Size,159,92,77,97,91.44,0.6573051747585579
240,Item Size: M,Overall Fit: True to Size,161,92,66,96,86.36,0.6573051747585579
241,Item Size: M,Overall Fit: True to Size,137,70,60,80,81.28,0.6573051747585579
242,Item Size: M,Overall Fit: True to Size,137,71,77,90,86.36,0.6573051747585579
243,Item Size: M,Overall Fit: True to Size,162,84,66,87,86.36,0.6573051747585579
244,Item Size: M,Overall Fit: True to Size,147,86,71,90,91.44,0.6573051747585579
245,Item Size: M,Overall Fit: True to Size,137,70,60,80,81.28,0.6573051747585579
246,Item Size: M,Overall Fit: True to Size,162,88,69,105,86.36,0.6573051747585579
247,Item Size: M,Overall Fit: True to Size,162,92,71,92,91.44,0.6573051747585579
248,Item Size: M,Overall Fit: True to Size,164,90,72,83,81.28,0.6573051747585579
249,Item Size: M,Overall Fit: True to Size,167,92,71,92,91.44,0.6573051747585579
250,Item Size: M,Overall Fit: True to Size,157,81,64,89,81.28,0.6573051747585579
251,Item Size: M,Overall Fit: True to Size,165,80,70,94,86.36,0.6573051747585579
252,Item Size: M,Overall Fit: True to Size,154,91,63,93,81.28,0.6573051747585579
253,Item Size: M,Overall Fit: True to Size,162,84,69,89,81.28,0.6573051747585579
